"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"62",2.5e+07,"FW",24,30,23,1949,11,2,13,3,10.7,3.2,11.5,NA,NA,NA
"63",2.2e+07,"GK",22,33,33,2969,0,0,0,0,0,0.1,0.1,NA,NA,NA
"64",2.2e+07,"MF",23,31,29,2571,0,8,8,0,2,6.2,8.2,NA,NA,NA
"65",2.2e+07,"MF",23,23,18,1464,3,4,7,0,1.5,2.3,3.7,NA,NA,NA
"66",2e+07,"MF",20,2,1,61,0,0,0,0,0,0,0,NA,NA,NA
"67",2e+07,"DF",26,14,14,1235,0,0,0,0,0.3,1.3,1.6,NA,NA,NA
"68",1.8e+07,"MF",25,23,20,1712,0,0,0,0,1.2,0.5,1.7,NA,NA,NA
"69",1.8e+07,"MF",24,30,19,1618,3,3,6,0,4.5,2.6,7.1,NA,NA,NA
"70",1.5e+07,"FW",30,34,22,1906,5,2,7,1,7.7,1.8,7.9,NA,NA,NA
"71",1.5e+07,"MF",27,28,24,1998,6,6,12,0,4.3,4.2,8.5,NA,NA,NA
"72",1.5e+07,"FW",23,10,6,499,0,0,0,0,1.2,0.8,2,NA,NA,NA
"73",1.5e+07,"DF",24,21,19,1696,5,2,7,0,2,1.4,3.5,NA,NA,NA
"74",1.5e+07,"FW",25,33,25,2288,6,6,12,0,6.2,6.2,12.4,NA,NA,NA
"75",1.5e+07,"DF",31,27,25,2068,3,4,7,0,1.3,4.6,5.9,NA,NA,NA
"76",1.5e+07,"DF",29,25,25,2207,2,2,4,0,1.8,1,2.8,NA,NA,NA
"77",1.5e+07,"MF",31,26,15,1463,0,0,0,0,0.4,0.5,0.9,NA,NA,NA
"78",1.5e+07,"MF",29,10,10,851,0,0,0,0,0.6,0.8,1.4,NA,NA,NA
"79",1.5e+07,"MF",31,29,24,2183,1,2,3,0,2.9,5,7.9,NA,NA,NA
"80",1.5e+07,"MF",26,28,21,1821,1,2,3,0,3.7,3.7,7.4,NA,NA,NA
"81",1.3e+07,"MF",26,16,16,1385,1,0,1,0,0.7,0.7,1.3,NA,NA,NA
"82",1.3e+07,"MF",26,12,9,794,0,1,1,0,0.3,0.4,0.7,NA,NA,NA
"83",1.2e+07,"DF",23,32,31,2654,1,2,3,0,0.5,2.8,3.4,NA,NA,NA
"84",1.2e+07,"MF",24,21,15,1209,2,0,2,0,1,1.4,2.4,NA,NA,NA
"85",1.2e+07,"MF",27,27,25,2173,4,3,7,0,6.2,1,7.2,NA,NA,NA
"86",1e+07,"MF",27,27,16,1312,5,2,7,0,5.4,1.9,7.3,NA,NA,NA
