"","Value","Position","Age.x","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Squad","Pos","Age.y"
"50",5e+07,"FW",27,33.5,484,702,68.9,6899,1825,6,5.5,4.8,31,29,13,3,52,NA,NA,NA
"51",6.5e+07,"DF",25,21.5,1712,1979,86.5,25356,8074,5,5.2,4.2,43,153,45,13,218,"Paris Saint-Germain","DF","24"
"52",6e+07,"MF",18,21.8,1311,1428,91.8,19542,4001,3,3.2,3.3,21,121,21,2,116,"Paris Saint-Germain","MF,DF","17"
"53",5e+07,"FW",24,29.2,537,655,82,7433,1592,4,3.3,2.3,32,53,26,1,79,"Lille","FW","23"
"54",4.5e+07,"DF",28,21.2,1670,1859,89.8,28845,9121,1,1.6,1.4,12,166,9,1,156,"Paris Saint-Germain","DF","27"
"55",4.5e+07,"MF",24,23.6,1659,1850,89.7,27065,6716,4,3.1,4,37,155,32,2,182,"Paris Saint-Germain","MF","23"
"56",4.5e+07,"MF",24,10.3,159,217,73.3,2217,594,2,2.9,2.4,18,13,10,3,23,"Marseille","FW","23"
"57",4e+07,"DF",18,29.7,1731,1880,92.1,31353,9753,0,0.1,0.3,2,52,1,0,68,"Lille","DF","17"
"58",4e+07,"GK",25,24.1,686,773,88.7,14587,8096,0,0,0,0,2,0,0,0,"Paris Saint-Germain","GK","24"
"59",4e+07,"DF",29,18.1,1735,1820,95.3,32486,9850,0,0.1,0.3,1,89,0,0,61,"Paris Saint-Germain","DF","28"
"60",3.5e+07,"DF",24,29.5,2228,2487,89.6,38405,14380,2,1.6,1.2,9,113,7,1,150,"Nice","DF","23"
"61",3.5e+07,"MF",23,23.4,978,1134,86.2,15397,3692,1,3.7,3.2,31,82,24,6,104,"Nice","MF","22"
"62",2.5e+07,"FW",24,21.7,274,387,70.8,3694,554,2,3.2,1.1,22,14,12,0,27,"Nice","FW","24"
"63",2.2e+07,"GK",22,33,914,1186,77.1,21421,14432,0,0.1,0.1,2,9,2,0,2,"Lille","GK","21"
"64",2.2e+07,"MF",23,28.6,1566,1751,89.4,27874,7062,8,6.2,6,48,164,45,1,204,"Lille","MF","22"
"65",2.2e+07,"MF",23,16.3,835,1011,82.6,12568,3151,4,2.3,4.2,27,58,31,8,103,"Paris Saint-Germain","FW,MF","22"
"66",2e+07,"MF",20,0.7,39,45,86.7,627,100,0,0,0,0,5,0,0,3,"Lille","MF","19"
"67",2e+07,"DF",26,13.7,579,748,77.4,9900,2568,0,1.3,1.3,14,37,11,7,51,"Marseille","DF","25"
"68",1.8e+07,"MF",25,19,1223,1361,89.9,19183,5129,0,0.5,0.5,11,85,6,0,96,"Nice","MF,DF","24"
"69",1.8e+07,"MF",24,18,465,562,82.7,6725,1493,3,2.6,2.9,22,37,15,3,62,"Marseille","FW,MF","23"
"70",1.5e+07,"FW",30,21.2,366,558,65.6,5696,1386,2,1.8,2.2,27,25,26,12,46,"Nice","FW,MF","29"
"71",1.5e+07,"MF",27,22.2,583,753,77.4,8887,2093,6,4.2,4.3,33,28,28,4,64,"Nice","FW","26"
"72",1.5e+07,"FW",23,5.5,143,176,81.3,2076,491,0,0.8,0.9,8,7,7,2,17,"Nice","FW","23"
"73",1.5e+07,"DF",24,18.8,1206,1311,92,20793,7113,2,1.4,0.7,13,91,1,0,95,"Lille","DF","22"
"74",1.5e+07,"FW",25,25.4,764,1043,73.3,12061,3392,6,6.2,7.8,46,43,53,13,90,"Lille","FW","24"
"75",1.5e+07,"DF",31,23,1153,1526,75.6,19885,6946,4,4.6,5.3,46,99,50,18,137,"Marseille","DF","30"
"76",1.5e+07,"DF",29,24.5,1222,1398,87.4,24175,8626,2,1,1.5,7,124,11,3,131,"Marseille","DF","28"
"77",1.5e+07,"MF",31,16.3,832,952,87.4,14691,4488,0,0.5,1,11,105,11,1,93,"Marseille","MF","30"
"78",1.5e+07,"MF",29,9.5,504,577,87.3,9308,2852,0,0.8,1.2,9,72,10,1,73,"Marseille","MF","28"
"79",1.5e+07,"MF",31,24.3,1049,1341,78.2,19875,6368,2,5,4.6,48,144,34,9,194,"Marseille","MF","30"
"80",1.5e+07,"MF",26,20.2,815,966,84.4,12457,3325,2,3.7,3.6,39,86,33,5,127,"Marseille","MF,FW","26"
"81",1.3e+07,"MF",26,15.4,650,750,86.7,11790,3104,0,0.7,0.5,15,65,5,0,78,"Reims","MF","25"
"82",1.3e+07,"MF",26,8.8,398,454,87.7,7072,2381,1,0.4,0.4,10,61,5,1,64,"Rennes","MF","25"
"83",1.2e+07,"DF",23,29.5,1457,1784,81.7,23609,6956,2,2.8,2.3,18,77,26,14,111,"Nice","DF","22"
"84",1.2e+07,"MF",24,13.4,722,817,88.4,11181,3153,0,1.4,1.7,15,81,17,3,98,"Marseille","MF","23"
"85",1.2e+07,"MF",27,24.1,380,542,70.1,6066,1820,3,1,2.2,12,42,11,3,67,"Reims","MF","27"
"86",1e+07,"MF",27,14.6,377,489,77.1,5416,1323,2,1.9,3.1,18,37,11,1,48,"Lille","MF,FW","26"
"87",1e+07,"GK",29,32.7,924,1195,77.3,21981,14438,0,0.5,0.1,2,19,2,0,0,"Marseille","GK","28"
"88",1e+07,"GK",24,34,1020,1301,78.4,25982,16947,0,0,0,0,9,0,0,3,"Reims","GK","23"
"89",1e+07,"FW",31,30.2,741,1131,65.5,12890,5184,7,11.5,9.9,80,82,58,26,139,"Reims","FW,MF","30"
"90",1e+07,"FW",23,15.3,292,400,73,4714,1083,1,1.3,2.2,14,28,16,2,56,"Reims","FW,MF","23"
"91",9e+06,"MF",24,17.9,601,717,83.8,9088,2370,0,1.8,1.3,21,44,19,2,78,"Nice","MF","23"
"92",9e+06,"DF",30,19.2,846,964,87.8,14333,4728,0,0.9,0.5,7,31,3,2,54,"Marseille","DF","29"
"93",9e+06,"DF",26,19.4,1062,1293,82.1,24636,8011,0,0,0.2,0,108,2,1,94,"Reims","DF","26"
"94",9e+06,"MF",32,22.2,2089,2223,94,40180,13453,0,0,0.9,0,222,4,0,148,"Paris Saint-Germain","DF","31"
"95",8e+06,"DF",25,20,834,994,83.9,11866,3883,0,1.1,1.3,12,36,14,5,52,"Nice","DF","24"
"96",8e+06,"FW",22,17.3,218,294,74.1,2999,623,0,1.4,1,15,15,12,0,34,"Nice","FW","22"
"97",8e+06,"DF",21,26.3,1113,1396,79.7,18957,4850,2,2.3,2.6,27,83,25,10,105,"Lille","DF","21"
"98",1.4e+08,"MF",21,19.5,621,772,80.4,8325,1957,5,6,5.8,42,42,41,0,100,NA,NA,NA
"99",1.4e+08,"MF",21,26.4,1540,1855,83,20304,5621,11,7.5,9.7,73,95,82,7,224,NA,NA,NA
"100",9e+07,"FW",31,31.5,474,664,71.4,8936,2715,8,6.4,5.9,31,66,41,6,102,NA,NA,NA
"101",8e+07,"MF",21,29.5,1137,1434,79.3,17935,4994,11,9.8,9,79,102,66,3,187,NA,NA,NA
"102",6e+07,"MF",26,16.1,511,657,77.8,8589,2309,5,5.4,3.7,32,60,21,7,68,NA,NA,NA
"103",6e+07,"FW",25,25.6,407,574,70.9,6183,1361,6,4.4,4.4,40,31,21,2,60,NA,NA,NA
"104",5.5e+07,"MF",22,0.1,5,7,71.4,83,25,0,0.2,0.1,2,0,0,0,1,NA,NA,NA
"105",5e+07,"DF",26,19.6,1678,1813,92.6,32907,9994,0,0.5,0.9,6,148,2,0,137,NA,NA,NA
"106",5e+07,"DF",24,22.9,1440,1642,87.7,20701,5332,5,2.9,3.3,37,88,31,7,117,NA,NA,NA
"107",5e+07,"DF",29,24.2,1951,2267,86.1,35635,10089,6,7.1,9.3,72,188,51,18,229,NA,NA,NA
"108",5e+07,"MF",23,25,797,1026,77.7,10923,2301,7,5.9,5.4,45,20,36,15,49,NA,NA,NA
"109",5e+07,"DF",21,24.3,1726,1885,91.6,30847,11113,0,0.1,0.8,4,107,8,2,107,NA,NA,NA
"110",5e+07,"FW",21,17,215,330,65.2,2541,538,2,1.1,1.3,12,8,7,0,22,NA,NA,NA
"111",4.5e+07,"FW",28,23.7,878,1098,80,12860,3036,11,10.8,9.5,72,43,47,2,113,NA,NA,NA
"112",4.5e+07,"DF",25,15.4,1120,1193,93.9,21822,7091,0,0.1,0.6,3,109,1,1,98,NA,NA,NA
"113",4.5e+07,"FW",23,17.2,278,385,72.2,3892,732,8,3.7,3.3,22,13,13,0,34,NA,NA,NA
"114",4.2e+07,"MF",22,24.9,1238,1456,85,17707,4172,4,3.9,5.3,33,97,31,4,127,NA,NA,NA
"115",4e+07,"DF",29,30.9,1762,2148,82,24881,6698,13,9.1,11.1,78,79,71,22,162,NA,NA,NA
"116",4e+07,"DF",25,23.2,1795,1973,91,29578,12526,1,1,1.4,9,193,8,0,164,NA,NA,NA
"117",4e+07,"MF",26,20.3,1856,2023,91.7,26250,8146,4,3.8,4.1,27,186,31,2,162,NA,NA,NA
"118",4e+07,"GK",26,26.3,974,1175,82.9,24299,15016,0,0,0,0,13,1,0,0,NA,NA,NA
"119",4e+07,"DF",24,31.8,2381,2681,88.8,46631,16883,1,1.9,2.1,16,193,19,0,186,NA,NA,NA
"120",4e+07,"DF",23,33,1930,2286,84.4,35292,13419,3,1.1,1.6,6,137,10,2,148,NA,NA,NA
"121",4e+07,"DF",22,16.5,1307,1435,91.1,19443,6533,2,0.5,0.9,6,99,9,0,102,NA,NA,NA
"122",4e+07,"FW",22,8,131,193,67.9,1934,348,2,1.7,1.5,12,13,3,1,9,NA,NA,NA
"123",3.5e+07,"FW",28,12.4,528,647,81.6,8358,1597,3,3.8,4.5,29,19,41,8,72,NA,NA,NA
"124",3.5e+07,"MF",28,24.7,1054,1319,79.9,17725,4294,11,9.5,7.5,80,63,32,8,116,NA,NA,NA
"125",3.5e+07,"FW",22,10.1,218,299,72.9,2929,719,1,2,1.6,9,9,10,1,26,NA,NA,NA
"126",3.5e+07,"MF",20,21,835,965,86.5,13897,3346,1,1.4,1.5,10,52,8,4,68,NA,NA,NA
"127",3.5e+07,"FW",29,4.8,180,214,84.1,2540,485,1,1.2,2,9,8,13,0,23,NA,NA,NA
"128",3.2e+07,"DF",26,13.3,865,980,88.3,12528,4216,3,1.8,2.4,15,92,17,3,103,NA,NA,NA
"129",3.2e+07,"MF",23,29.9,2346,2637,89,37536,11544,5,5.1,5.4,51,229,29,6,220,NA,NA,NA
"130",3.2e+07,"MF",23,0.9,36,43,83.7,683,273,0,0,0.1,1,7,1,1,7,NA,NA,NA
"131",3.2e+07,"DF",22,14,928,1060,87.5,14738,4217,2,1.4,1.7,8,70,18,5,80,NA,NA,NA
"132",3e+07,"FW",19,11.7,340,410,82.9,5395,862,5,2.3,3,12,23,19,6,27,NA,NA,NA
"133",3e+07,"DF",28,29.2,2070,2193,94.4,32998,13638,1,0.3,0.9,5,164,1,0,133,NA,NA,NA
"134",3e+07,"FW",22,26.9,384,550,69.8,4753,790,1,2.4,3,24,7,27,9,30,NA,NA,NA
"135",3e+07,"DF",25,24.8,1833,2066,88.7,30156,11234,2,2,2.4,19,119,21,7,121,NA,NA,NA
"136",3e+07,"FW",25,1.7,17,26,65.4,227,67,0,0,0,0,2,1,0,3,NA,NA,NA
"137",3e+07,"FW",24,10.5,414,512,80.9,5598,1668,2,3,3.3,25,25,26,4,62,NA,NA,NA
"138",2.8e+07,"DF",24,23.8,1347,1573,85.6,23904,8042,3,3.3,2.9,15,107,5,2,106,NA,NA,NA
"139",2.8e+07,"MF",27,27.5,1587,1798,88.3,26312,7551,5,2.6,3.1,27,196,22,2,230,NA,NA,NA
"140",2.8e+07,"FW",26,31.9,371,574,64.6,4996,1174,9,3.9,3.7,33,40,17,1,60,NA,NA,NA
"141",2.8e+07,"FW",25,19.8,410,546,75.1,5627,1551,1,3,3.4,22,21,36,6,57,NA,NA,NA
"142",2.8e+07,"MF",24,11.3,382,457,83.6,6003,1450,2,0.9,1.2,14,34,7,0,45,NA,NA,NA
"143",1.8e+08,"MF",21,25.7,1363,1543,88.3,19609,4025,6,5.3,4.3,48,137,45,3,196,NA,NA,NA
"144",1.8e+08,"FW",17,24.5,903,1132,79.8,12868,3009,5,6.2,6.5,38,39,52,16,80,NA,NA,NA
"145",1.3e+08,"MF",26,32.3,1901,2117,89.8,29049,7780,7,5.8,3.4,49,229,41,4,231,NA,NA,NA
"146",1e+08,"FW",23,26.4,883,1007,87.7,10417,1882,5,4,4.2,46,42,44,4,90,NA,NA,NA
"147",1e+08,"MF",21,16.4,1035,1189,87,17171,3933,2,4.2,4.1,37,83,37,4,136,NA,NA,NA
"148",8e+07,"MF",24,22.1,1377,1520,90.6,22672,7487,1,0.9,1.4,11,154,13,4,111,NA,NA,NA
"149",8e+07,"MF",22,20.2,1205,1328,90.7,19473,4856,2,1.4,1.8,20,100,14,3,106,NA,NA,NA
"150",8e+07,"FW",28,15.2,522,693,75.3,8785,2397,9,5.7,5,41,39,32,8,57,NA,NA,NA
"151",8e+07,"MF",20,10.5,489,541,90.4,7119,1400,1,1.1,1.4,11,37,8,2,39,NA,NA,NA
"152",7e+07,"FW",22,25.1,579,828,69.9,9035,2545,11,5.7,7.5,47,26,48,22,66,NA,NA,NA
"153",7e+07,"DF",17,17.3,1360,1487,91.5,25525,8442,0,0.4,0.4,5,73,0,0,75,NA,NA,NA
"154",6e+07,"MF",25,29.5,1321,1542,85.7,22165,6269,1,1.5,2,16,136,15,1,152,NA,NA,NA
"155",6e+07,"DF",26,32.2,2478,2757,89.9,41514,13135,2,2.2,2.6,23,267,20,5,245,NA,NA,NA
"156",5.5e+07,"FW",20,33.1,812,1064,76.3,11860,2710,10,7.9,9.9,52,28,60,14,93,NA,NA,NA
"157",5.5e+07,"DF",25,22.2,1458,1641,88.8,27691,10325,2,1.4,1.7,8,111,6,1,101,NA,NA,NA
"158",5e+07,"MF",24,21.9,641,802,79.9,9165,2212,5,4.7,2.9,42,80,34,4,121,NA,NA,NA
"159",5e+07,"DF",21,15.3,694,817,84.9,9879,2231,1,1.2,1.5,13,26,20,7,41,NA,NA,NA
"160",5e+07,"MF",21,17.3,728,873,83.4,11531,3536,1,1.9,1,16,75,16,0,98,NA,NA,NA
"161",5e+07,"FW",20,21.3,232,322,72,3200,468,1,1.3,0.6,16,11,5,0,18,NA,NA,NA
"162",5e+07,"FW",20,0.9,10,15,66.7,178,6,0,0,0,2,0,0,0,0,NA,NA,NA
"163",4.5e+07,"MF",27,18.2,1542,1674,92.1,23581,7114,0,2.2,4.9,21,187,34,7,168,NA,NA,NA
"164",4.5e+07,"MF",28,27.6,1076,1413,76.2,17048,4802,3,1.9,2.8,20,122,27,3,163,NA,NA,NA
"165",4e+07,"GK",24,36.5,589,1111,53,18905,15286,0,0.4,0.1,2,26,1,0,0,NA,NA,NA
"166",4e+07,"DF",28,27.4,1562,1765,88.5,31232,8514,0,0.1,0.8,3,94,0,0,106,NA,NA,NA
"167",4e+07,"FW",23,23.9,611,862,70.9,9540,2892,4,6.4,6.5,58,38,31,5,89,NA,NA,NA
"168",4e+07,"DF",26,5.5,297,329,90.3,5567,1956,0,0,0,0,13,0,0,15,NA,NA,NA
"169",3.5e+07,"MF",27,26.8,942,1244,75.7,14889,4210,6,4.2,4.4,40,109,30,5,128,NA,NA,NA
"170",3.5e+07,"FW",27,24,373,507,73.6,5041,979,3,1.7,1.3,21,22,13,0,39,NA,NA,NA
"171",3.5e+07,"MF",23,29.6,777,1036,75,13710,2684,6,4.6,4.3,36,62,27,11,89,NA,NA,NA
"172",3e+07,"FW",27,28.7,277,392,70.7,3272,471,8,6.2,3.7,27,9,10,0,26,NA,NA,NA
"173",3e+07,"FW",25,17.1,538,663,81.1,7329,1372,3,3.1,2.6,19,31,20,1,68,NA,NA,NA
"174",3e+07,"DF",20,34.2,1454,1646,88.3,27551,8196,0,0,0.2,1,45,0,0,77,NA,NA,NA
"175",2.8e+07,"GK",27,35.4,728,1227,59.3,23132,18785,0,0,0.1,1,25,0,0,0,NA,NA,NA
"176",2.8e+07,"FW",24,13.5,351,450,78,5339,1196,2,2.7,1.9,26,26,22,5,44,NA,NA,NA
"177",2.8e+07,"MF",29,28.5,974,1219,79.9,13597,3643,4,5.6,4.5,26,60,36,11,106,NA,NA,NA
"178",2.7e+07,"FW",24,31.8,423,618,68.4,5082,766,3,2.5,2.1,24,21,15,3,25,NA,NA,NA
"179",2.5e+07,"GK",29,36.4,965,1258,76.7,26777,19177,0,0,0.1,1,19,0,0,1,NA,NA,NA
"180",2.5e+07,"DF",23,33.7,1595,1855,86,24623,6547,7,7.5,6.8,42,102,56,19,146,NA,NA,NA
"181",2.5e+07,"DF",22,24.9,1057,1354,78.1,16640,4090,8,4.2,4.3,27,62,34,17,97,NA,NA,NA
"182",2.5e+07,"FW",28,27.7,357,476,75,4827,666,6,4.4,3,34,19,15,1,40,NA,NA,NA
"183",2.5e+07,"GK",31,38,773,1025,75.4,20459,15035,0,0,0,0,7,0,0,0,NA,NA,NA
"184",2.5e+07,"MF",30,23.1,1291,1553,83.1,21996,6879,5,5,6.2,39,146,63,7,202,NA,NA,NA
"185",1e+08,"FW",27,29.5,604,782,77.2,8821,2104,3,3.6,2,36,45,21,2,80,NA,NA,NA
"186",8.5e+07,"MF",23,30.4,965,1200,80.4,15513,2850,6,6.8,5.4,63,46,34,2,89,NA,NA,NA
"187",8e+07,"MF",27,31.6,1835,2168,84.6,30143,9590,3,3.4,4.5,42,212,78,11,278,NA,NA,NA
"188",7.5e+07,"FW",25,22,194,290,66.9,2461,399,3,3.1,0.9,23,12,6,0,23,NA,NA,NA
"189",7.5e+07,"DF",25,25.2,1671,1935,86.4,32047,10473,3,3.4,3.1,22,135,35,14,142,NA,NA,NA
"190",7.5e+07,"FW",27,29.9,476,656,72.6,5687,1049,7,3.7,3.6,29,20,19,4,47,NA,NA,NA
"191",7.5e+07,"FW",25,27.9,760,1032,73.6,12177,3205,9,9.1,8.1,59,65,62,17,117,NA,NA,NA
"192",6e+07,"DF",27,23.1,1027,1328,77.3,17596,5513,6,8.5,7.5,61,60,57,30,100,NA,NA,NA
"193",6e+07,"DF",27,35.9,1661,1930,86.1,34805,12857,0,0.4,0.8,7,111,0,0,120,NA,NA,NA
"194",6e+07,"FW",24,25.6,380,542,70.1,5845,888,4,2.3,1.6,29,21,14,1,46,NA,NA,NA
"195",5.5e+07,"FW",27,21,635,838,75.8,9115,2499,7,5.2,4.8,50,46,32,2,97,NA,NA,NA
"196",5e+07,"MF",26,29.2,1092,1419,77,18824,6491,5,5.9,5.4,60,126,45,17,169,NA,NA,NA
"197",5e+07,"MF",25,31.9,1390,1662,83.6,25167,8622,1,1.4,2.3,18,180,40,5,214,NA,NA,NA
"198",5e+07,"DF",27,31,1717,1994,86.1,26200,9027,4,4.3,4.6,44,103,40,12,166,NA,NA,NA
"199",5e+07,"MF",26,28.9,832,1074,77.5,11830,2542,8,4.8,4.5,44,42,43,18,87,NA,NA,NA
"200",4.5e+07,"DF",20,28.3,1272,1564,81.3,20712,7854,3,1.1,1.5,11,89,14,2,116,NA,NA,NA
"201",4.5e+07,"MF",19,10.6,284,349,81.4,3984,1191,0,1.1,1.6,18,21,13,2,40,NA,NA,NA
"202",4.5e+07,"DF",25,28.1,1012,1187,85.3,17567,5255,0,0.1,0.4,4,28,4,1,62,NA,NA,NA
"203",4.5e+07,"DF",22,26.1,1622,1810,89.6,28565,8660,5,1.2,0.9,17,94,10,3,96,NA,NA,NA
"204",4.2e+07,"FW",23,30.7,710,917,77.4,9106,1752,4,5.2,2.5,43,40,28,0,86,NA,NA,NA
"205",4e+07,"MF",30,28.4,2045,2316,88.3,37372,11241,3,4.7,5.8,52,194,39,12,186,NA,NA,NA
"206",4e+07,"DF",24,26.4,1007,1207,83.4,16173,3526,3,3.9,3.8,38,40,24,11,71,NA,NA,NA
"207",4e+07,"DF",28,18.6,1180,1308,90.2,20701,6708,2,1.4,1.8,10,85,12,3,89,NA,NA,NA
"208",3.8e+07,"MF",23,22.5,565,782,72.3,8690,2346,8,6.1,4.1,49,44,42,7,126,NA,NA,NA
"209",3.5e+07,"FW",25,24.6,265,412,64.3,3135,410,2,0.7,0.6,11,10,5,0,17,NA,NA,NA
"210",3.5e+07,"MF",26,21.3,560,789,71,9935,2504,2,1.6,3.1,22,66,30,4,100,NA,NA,NA
"211",3.5e+07,"GK",29,29,1033,1228,84.1,25589,17105,1,0.3,0.1,3,18,1,0,0,NA,NA,NA
"212",3.2e+07,"MF",25,10.6,235,301,78.1,3468,1047,3,1.9,2,10,18,13,1,37,NA,NA,NA
"213",3e+07,"DF",23,10,590,641,92,10225,2915,0,0.5,0.4,1,27,4,1,30,NA,NA,NA
"214",3e+07,"FW",25,16.1,293,434,67.5,5369,1076,6,3.9,1.5,33,30,14,1,41,NA,NA,NA
"215",3e+07,"MF",25,10.4,417,472,88.3,8718,2621,1,0.1,0.1,1,14,0,0,24,NA,NA,NA
"216",3e+07,"MF",25,9.6,324,394,82.2,6945,2807,0,0,0.1,0,21,0,0,26,NA,NA,NA
"217",3e+07,"FW",24,7.3,66,96,68.8,911,134,0,0.7,0.1,5,3,0,0,6,NA,NA,NA
"218",2.8e+07,"MF",29,36.5,2081,2278,91.4,34504,8906,1,1.3,1.6,23,212,22,1,188,NA,NA,NA
"219",2.8e+07,"MF",26,33.4,1703,1988,85.7,34595,11134,4,1.4,2.4,26,229,30,5,232,NA,NA,NA
