"","Value","Position","Age.x","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Squad","Pos","Age.y"
"220",2.8e+07,"DF",24,20.1,1161,1294,89.7,21517,7790,0,0.5,0.8,7,70,10,3,93,NA,NA,NA
"221",2.8e+07,"MF",23,26.6,1121,1310,85.6,18378,4368,2,2.3,2.4,26,103,24,4,122,NA,NA,NA
"222",2.6e+07,"DF",24,4.2,230,259,88.8,3921,1103,0,0.1,0.2,2,17,2,1,19,NA,NA,NA
"223",2.5e+07,"DF",22,19,592,721,82.1,10460,3372,1,0.8,0.9,7,22,2,0,29,NA,NA,NA
"224",2.5e+07,"DF",27,27.9,1341,1584,84.7,27355,9362,0,0.7,0.9,8,73,0,0,81,NA,NA,NA
"225",2.5e+07,"MF",29,29.5,996,1211,82.2,14960,3691,3,4.1,4,26,103,23,10,120,NA,NA,NA
"226",2.5e+07,"DF",26,29.3,1166,1370,85.1,21805,7166,0,1.5,1.3,10,103,7,5,122,NA,NA,NA
"227",2.5e+07,"MF",22,14.6,851,976,87.2,14115,3415,2,0.5,0.6,10,68,5,0,56,NA,NA,NA
"228",2.5e+07,"FW",24,19.7,467,602,77.6,6997,1298,1,1.8,1.2,22,25,13,5,36,NA,NA,NA
"229",2.5e+07,"FW",31,29.3,438,621,70.5,5515,781,3,2.4,1.5,29,23,13,3,37,NA,NA,NA
