"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"36","Manchester United ","Rasmus Højlund",6.5e+07,"FW",NA,25,2158,24,0.42,21,30,"2023-2024","Premier League","DEN",0,10,2,12,7.6,1.6,38,52.6
"37","Chelsea ","Christopher Nkunku",6.5e+07,"MF",11,2,443,4.9,0.61,26,11,"2023-2024","Premier League","FRA",0,3,0,3,2.3,0.2,16,43.8
"38","Manchester City ","Jack Grealish",6e+07,"FW",20,10,1009,11.2,0.27,28,20,"2023-2024","Premier League","ENG",0,3,1,4,2.1,2.5,22,22.7
"39","Newcastle United ","Anthony Gordon",6e+07,"FW",35,34,2890,32.1,0.34,23,35,"2023-2024","Premier League","ENG",1,11,10,21,10.2,8,80,36.3
"40","Manchester United ","Marcus Rashford",6e+07,"FW",NA,26,2271,25.2,0.28,26,33,"2023-2024","Premier League","ENG",2,7,2,9,7.4,2.3,60,31.7
"41","Arsenal ","Ben White",5.5e+07,"DF",37,35,2988,33.2,0.12,26,37,"2023-2024","Premier League","ENG",0,4,4,8,1.2,3.8,13,46.2
"42","Crystal Palace ","Eberechi Eze",5.5e+07,"MF",27,24,2055,22.8,0.48,26,27,"2023-2024","Premier League","ENG",1,11,4,15,9.1,5.2,82,40.2
"43","Aston Villa ","Moussa Diaby",5.5e+07,"FW",NA,25,2174,24.2,0.25,25,38,"2023-2024","Premier League","FRA",0,6,8,14,7,6.6,54,40.7
"44","Tottenham Hotspur ","Dejan Kulusevski",5.5e+07,"FW",36,31,2762,30.7,0.26,24,36,"2023-2024","Premier League","SWE",0,8,3,11,4.7,7.7,57,40.4
"45","Liverpool ","Mohamed Salah",5.5e+07,"FW",32,28,2534,28.2,0.64,32,32,"2023-2024","Premier League","EGY",5,18,10,28,21.2,11.8,107,43.9
"46","Liverpool ","Cody Gakpo",5.5e+07,"FW",35,17,1649,18.3,0.44,25,35,"2023-2024","Premier League","NED",0,8,5,13,9,2.9,66,36.4
"47","Wolverhampton Wanderers ","Pedro Neto",5.5e+07,"FW",20,18,1516,16.8,0.12,24,20,"2023-2024","Premier League","POR",0,2,9,11,3.5,4.4,36,33.3
"48","Fulham ","João Palhinha",5.5e+07,"MF",33,31,2699,30,0.13,29,33,"2023-2024","Premier League","POR",0,4,1,5,3.3,0.8,45,31.1
"49","Manchester United ","Kobbie Mainoo",5.5e+07,"MF",NA,24,1924,21.4,0.14,19,24,"2023-2024","Premier League","ENG",0,3,1,4,0.9,0.7,11,45.5
"50","Crystal Palace ","Michael Olise",5.5e+07,"MF",19,14,1275,14.2,0.71,22,19,"2023-2024","Premier League","FRA",1,10,6,16,5.5,5.8,56,35.7
"51","Manchester City ","Kevin De Bruyne",5e+07,"MF",18,15,1221,13.6,0.29,33,18,"2023-2024","Premier League","BEL",0,4,10,14,2.4,11.5,44,38.6
"52","West Ham United ","Jarrod Bowen",5e+07,"FW",34,34,3019,33.5,0.48,27,34,"2023-2024","Premier League","ENG",0,16,6,22,11.6,5.5,84,44
"53","PSG","Kylian Mbappé",1.7e+08,"FW",29,24,2158,24,1.13,25,NA,"2023-2024","Ligue 1","FRA",6,27,7,34,21,5.7,112,44.6
"54","PSG","Achraf Hakimi",6.5e+07,"DF",25,20,1932,21.5,0.19,25,NA,"2023-2024","Ligue 1","MAR",0,4,5,9,4.2,5.2,42,28.6
"55","PSG","Warren Zaïre-Emery",6e+07,"MF",26,21,1962,21.8,0.09,18,NA,"2023-2024","Ligue 1","FRA",0,2,3,5,1.4,3.2,14,28.6
"56","Lille","Jonathan David",5e+07,"FW",34,30,2629,29.2,0.65,24,NA,"2023-2024","Ligue 1","CAN",2,19,4,23,17.5,3.3,76,56.6
"57","PSG","Lucas Hernández",4.5e+07,"DF",27,23,1909,21.2,0.05,28,NA,"2023-2024","Ligue 1","FRA",0,1,1,2,0.5,1.6,6,33.3
"58","PSG","Vitinha",4.5e+07,"MF",28,23,2126,23.6,0.3,24,NA,"2023-2024","Ligue 1","POR",0,7,4,11,3.1,3.1,45,42.2
"59","PSG","Vitinha",4.5e+07,"MF",28,23,2126,23.6,0.3,24,NA,"2023-2024","Ligue 1","POR",0,7,4,11,3.1,3.1,37,24.3
"60","PSG","Vitinha",4.5e+07,"MF",18,10,923,10.3,0.29,24,NA,"2023-2024","Ligue 1","POR",0,3,2,5,5.1,2.9,45,42.2
"61","PSG","Vitinha",4.5e+07,"MF",18,10,923,10.3,0.29,24,NA,"2023-2024","Ligue 1","POR",0,3,2,5,5.1,2.9,37,24.3
"62","Lille","Leny Yoro",4e+07,"DF",32,30,2673,29.7,0.07,18,NA,"2023-2024","Ligue 1","FRA",0,2,0,2,1.5,0.1,14,57.1
"63","PSG","Gianluigi Donnarumma",4e+07,"GK",25,25,2169,24.1,0,25,NA,"2023-2024","Ligue 1","ITA",0,0,0,0,0,0,0,NA
"64","PSG","Milan Škriniar",4e+07,"DF",24,17,1629,18.1,0,29,NA,"2023-2024","Ligue 1","SVK",0,0,0,0,0.2,0.1,3,33.3
"65","Nice","Jean-Clair Todibo",3.5e+07,"DF",30,30,2651,29.5,0,24,NA,"2023-2024","Ligue 1","FRA",0,0,2,2,0.6,1.6,9,11.1
"66","Nice","Khéphren Thuram",3.5e+07,"MF",27,25,2108,23.4,0.04,23,NA,"2023-2024","Ligue 1","FRA",0,1,1,2,3.4,3.7,39,28.2
"67","Nice","Terem Moffi",2.5e+07,"FW",30,23,1949,21.7,0.51,24,NA,"2023-2024","Ligue 1","NGA",3,11,2,13,10.7,3.2,46,43.5
"68","Lille","Lucas Chevalier",2.2e+07,"GK",33,33,2969,33,0,22,NA,"2023-2024","Ligue 1","FRA",0,0,0,0,0,0.1,0,NA
"69","Lille","Angel Gomes",2.2e+07,"MF",31,29,2571,28.6,0,23,NA,"2023-2024","Ligue 1","ENG",0,0,8,8,2,6.2,34,20.6
"70","PSG","Lee Kang-in",2.2e+07,"MF",23,18,1464,16.3,0.18,23,NA,"2023-2024","Ligue 1","KOR",0,3,4,7,1.5,2.3,23,39.1
